iter	RMSE
0	1631064.51
1	1601122.263
2	1576716.49
3	1548501.994
4	1544060.936
5	1537658.703
6	1532469.422
7	1506655.718
8	1489965.997
9	1476327.422
10	1454255.528
11	1447358.497
12	1442698.614
13	1438139.152
14	1433694.069
15	1413533.429
16	1408969.969
17	1403874.831
18	1398323.174
19	1393576.521
20	1388583.438
21	1385461.571
22	1382195.479
23	1377904.79
24	1374886.007
25	1363236.928
26	1359851.491
27	1341782.077
28	1338429.778
29	1335328.113
30	1331351.667
31	1328215.999
32	1313155.633
33	1310576.338
34	1289734.478
35	1274365.333
36	1271099.061
37	1268155.824
38	1250888.093
39	1247860.68
40	1227039.251
41	1223777.96
42	1220903.216
43	1206510.43
44	1204135.359
45	1188905.041
46	1186521.252
47	1183646.809
48	1170677.869
49	1167029.78
50	1164530.925
51	1162291.316
52	1148693.342
53	1146662.059
54	1144566.601
55	1134405.292
56	1132011.832
57	1130059.474
58	1117844.026
59	1115492.125
60	1113191.495
61	1099958.111
62	1097721.835
63	1086801.059
64	1077611.35
65	1075150.461
66	1073002.521
67	1066579.795
68	1059969.109
69	1058188.009
70	1055301.038
71	1049206.387
72	1039856.256
73	1031694.325
74	1029719.27
75	1027506.587
76	1020352.68
77	1018381.065
78	1016460.821
79	1014337.237
80	1005273.519
81	998366.3696
82	992769.0585
83	990906.8106
84	989380.0206
85	983333.1702
86	981543.1238
87	970673.167
88	968983.3377
89	967067.0038
90	958101.5028
91	955425.4541
92	953748.234
93	951886.7422
94	946290.1919
95	944654.2998
96	939197.3458
97	937611.0123
98	932623.9625
99	930915.2095
100	924471.7203
101	922948.7373
102	921404.3438
103	917488.2471
104	915867.2656
105	909887.8015
106	904661.2598
107	903004.0182
108	897382.7459
109	895708.3172
110	889205.2109
111	888046.0638
112	886634.065
113	885330.9814
114	884069.5054
115	877498.7891
116	876195.7708
117	870394.7901
118	865980.4378
119	861374.0751
120	860096.559
121	858659.51
122	857268.8641
123	853579.8069
124	849634.8051
125	845468.5496
126	844417.1562
127	841466.2643
128	836185.1331
129	833004.1126
130	831795.9996
131	829212.3834
132	828132.2677
133	825786.4806
134	822137.5183
135	818703.3687
136	815755.8873
137	814791.1775
138	813653.3072
139	812471.4305
140	808897.374
141	805343.7559
142	802046.7561
143	800983.8029
144	799914.5932
145	796943.5587
146	792538.8038
147	788256.4769
148	787301.6124
149	785888.7809
150	782593.3797
151	779247.3144
152	778217.3242
153	776106.3309
154	775075.122
155	772890.8047
156	769532.3835
157	768518.7816
158	764842.9342
159	763866.4545
160	762884.7302
161	760328.332
162	757976.5419
163	757014.02
164	755574.5123
165	754625.3624
166	751013.2885
167	750016.8423
168	747321.8107
169	744308.4385
170	743383.2753
171	742179.7405
172	738163.1917
173	737247.3585
174	733933.5396
175	731528.3665
176	730639.4529
177	729767.0833
178	728124.7047
179	724832.1756
180	723874.8673
181	721029.1013
182	719181.0164
183	718329.1161
184	715907.521
185	714554.8533
186	711475.7213
187	709404.4365
188	708569.4625
189	705838.1702
190	705019.331
191	703432.9336
192	702626.7756
193	701838.8152
194	698581.2671
195	696991.5293
196	696218.8638
197	694230.8241
198	691574.018
199	690811.1724
200	687537.3289
201	686094.1807
202	685341.2351
203	682932.1999
204	680927.8659
205	680190.5083
206	678283.5826
207	675656.1465
208	674362.8898
209	673622.7588
210	670961.4774
211	668773.9804
212	668051.9553
213	666769.7577
214	664853.961
215	664147.1863
216	663008.8795
217	660670.8047
218	659973.245
219	657808.1109
220	657124.0078
221	654684.2443
222	653442.0462
223	652770.2226
224	651203.2656
225	650541.774
226	648390.8858
227	647197.8827
228	646543.4301
229	643225.4229
230	640950.0902
231	639534.4945
232	638421.9644
233	636435.2661
234	634404.1802
235	633754.1088
236	633119.0864
237	632496.308
238	631475.6011
239	630857.5819
240	629308.0919
241	627087.9478
242	626478.2076
243	624156.32
244	622976.6668
245	621224.4914
246	619397.4918
247	617681.7269
248	617075.6833
249	615713.4766
250	615116.5314
251	614421.7246
252	613839.2857
253	613264.7341
254	612259.1743
255	610368.2792
256	609797.4414
257	609233.8901
258	608677.1244
259	607249.2219
260	606697.3689
261	604780.5987
262	604233.8299
263	603308.1655
264	601939.449
265	601395.4578
266	600858.7767
267	598267.6085
268	597263.0295
269	596729.9485
270	596200.436
271	595677.3883
272	595159.579
273	594645.5283
274	592728.2667
275	591508.4357
276	590997.7523
277	590174.4224
278	589667.3644
279	589165.6897
280	587688.6141
281	587191.4658
282	586699.5689
283	583793.1255
284	583135.2191
285	582649.7333
286	582169.9613
287	580316.0654
288	578801.2628
289	578323.0441
290	577152.8805
291	576267.8855
292	575793.3298
293	575325.5789
294	573709.9761
295	573245.7327
296	572786.1591
297	572040.2165
298	570469.4122
299	570012.9253
300	568318.7347
301	567866.3003
302	567417.9701
303	566974.5158
304	566256.4196
305	565816.3927
306	564793.9001
307	564357.2873
308	563924.4211
309	562495.3409
310	562065.2709
311	561639.9515
312	560888.6811
313	560466.7108
314	559367.5619
315	558948.5786
316	558534.4552
317	558123.377
318	557479.8712
319	557071.9611
320	555058.9927
321	554653.83
322	553169.3624
323	552766.2783
324	551682.7661
325	551283.6883
326	550635.3971
327	550239.0898
328	549103.0822
329	548710.8643
330	547055.9494
331	545725.8072
332	544339.6677
333	543375.2383
334	542982.7809
335	542595.7679
336	541928.1514
337	540705.0601
338	540321.4103
339	539943.3397
340	539581.8048
341	539211.5431
342	537935.2634
343	537342.2902
344	536974.0932
345	536621.6461
346	536259.6294
347	535545.0032
348	535185.8671
349	534828.5131
350	534237.4731
351	533882.5974
352	532937.8559
353	531654.5071
354	531302.2676
355	530294.2199
356	529943.4872
357	529596.2248
358	528886.9648
359	528343.996
360	528000.1045
361	527658.18
362	526495.7265
363	526156.7648
364	525609.2864
365	525272.7837
366	524938.9861
367	524386.7396
368	523735.268
369	523404.2813
370	522902.3344
371	522572.8656
372	521712.285
373	520887.7994
374	519490.5414
375	519161.5222
376	518836.9818
377	517670.0768
378	517347.033
379	516381.0617
380	516060.6571
381	515743.5792
382	515428.4224
383	515116.9628
384	513871.5358
385	513080.2526
386	512769.7363
387	512221.8299
388	511913.3076
389	511607.9137
390	510884.1666
391	510581.3771
392	510280.9627
393	508917.2299
394	507818.3019
395	507520.92
396	505777.2103
397	505061.3456
398	504268.2407
399	503971.632
400	502880.4244
401	502035.0072
402	500630.5704
403	500337.4053
404	499838.4064
405	498622.8031
406	498334.0096
407	496901.8621
408	495812.4698
409	495524.5068
410	494894.0208
411	493935.3967
412	493650.7819
413	493196.4335
414	492913.9581
415	492027.7988
416	491746.8028
417	491469.8259
418	491194.4181
419	490314.0014
420	490039.6363
421	489196.974
422	488167.271
423	487895.3531
424	487087.751
425	486633.5243
426	486362.5696
427	486093.5979
428	485827.6942
429	485065.6702
430	484800.0902
431	483558.7562
432	483104.454
433	482839.5506
434	482576.4226
435	482316.7433
436	482057.9815
437	480774.3958
438	480516.4959
439	480261.5488
440	479502.7729
441	479248.9734
442	478845.9704
443	478005.6862
444	477752.5094
445	477502.3636
446	476786.3678
447	476538.0334
448	476290.9495
449	475173.4322
450	474451.6004
451	474204.8619
452	473767.0749
453	473522.5158
454	472754.986
455	472106.4234
456	471862.829
457	471620.9828
458	471381.6956
459	470721.7775
460	470342.6166
461	468959.7175
462	468720.6672
463	468483.5112
464	468248.1407
465	467560.8729
466	467326.7414
467	467094.3136
468	466864.1385
469	466408.6247
470	465406.1916
471	465175.6529
472	464947.3573
473	464720.4677
474	464102.9805
475	463014.8562
476	462788.739
477	462564.6187
478	462341.9429
479	461481.0094
480	461069.6804
481	460847.1069
482	460626.5745
483	459731.9565
484	458468.425
485	458247.5901
486	457489.348
487	456292.3794
488	456073.3293
489	455726.3559
490	454656.1571
491	453704.77
492	453485.9539
493	453270.4688
494	453056.1766
495	452843.097
496	452631.4384
497	452421.0894
498	451354.845
499	450850.9379
500	450529.506
501	449737.3257
502	449526.7054
503	449122.0526
504	448912.3247
505	448704.3263
506	447618.0029
507	447410.8117
508	447205.1468
509	447000.5621
510	446755.0367
511	446254.0094
512	446051.7095
513	445850.7198
514	445088.6909
515	444887.9379
516	444255.7149
517	443610.2734
518	443223.3781
519	442579.815
520	442379.5649
521	442181.3455
522	441695.4507
523	441199.2815
524	440891.8155
525	440694.0695
526	440497.3295
527	440302.4402
528	440109.3309
529	439724.1815
530	439333.3871
531	438978.2056
532	438785.7064
533	438593.7859
534	438326.2138
535	438135.792
536	437946.6982
537	437150.7344
538	436962.1165
539	436774.2902
540	435704.4928
541	435517.5234
542	435120.7056
543	434935.0477
544	434743.9087
545	433959.3521
546	433671.3717
547	433486.7526
548	432844.8093
549	432661.0004
550	432478.4286
551	432084.3594
552	431903.0703
553	431722.7451
554	431543.1945
555	431365.0572
556	430781.2514
557	430435.2623
558	430157.5111
559	429179.6238
560	429001.0207
561	428164.4414
562	427986.8733
563	427810.5488
564	427634.9368
565	426901.9186
566	426297.6132
567	426123.3615
568	425949.9129
569	425613.5468
570	425370.1848
571	425075.7722
572	424813.1408
573	424621.6608
574	424449.0005
575	424139.0869
576	423498.9223
577	423280.6213
578	422575.7132
579	421864.995
580	421693.2344
581	421522.8458
582	421353.222
583	420798.7682
584	420630.6117
585	419963.9113
586	419797.3032
587	419631.4777
588	419040.2271
589	418420.5627
590	418255.6492
591	418092.5544
592	417929.8577
593	417767.714
594	417154.6059
595	416902.3191
596	416579.0204
597	415560.7482
598	414958.1548
599	414319.1835
600	413932.6139
601	413362.5866
602	413200.7286
603	412791.5151
604	412631.143
605	412471.2467
606	412226.6734
607	412068.3593
608	411911.6882
609	411755.582
610	411452.4603
611	410376.7512
612	409687.3298
613	409530.541
614	409024.8223
615	408869.3572
616	408627.534
617	408474.2128
618	408321.3176
619	407635.687
620	407482.9316
621	406608.0992
622	406133.9529
623	405982.0963
624	405520.4462
625	405359.6682
626	405209.5459
627	404836.8571
628	404283.0913
629	404132.9743
630	403549.9883
631	403213.3178
632	402924.2191
633	402775.2608
634	402541.6606
635	401905.0052
636	401551.3345
637	401402.8604
638	401255.4077
639	400447.4875
640	400127.2363
641	399980.5451
642	399320.3774
643	399174.6439
644	399029.7615
645	398801.7863
646	398451.4063
647	398234.1704
648	397320.6225
649	396876.6234
650	396731.5527
651	396209.7559
652	396065.9758
653	395491.837
654	395185.0272
655	395042.1514
656	394900.6931
657	394680.1813
658	394138.2214
659	393742.223
660	393378.1628
661	393237.5741
662	393098.2101
663	392959.4948
664	392688.7348
665	391939.295
666	391801.563
667	391196.5913
668	390417.2978
669	390202.4764
670	389885.6833
671	389748.0759
672	389611.3547
673	389475.3986
674	389214.1651
675	389079.9729
676	388870.7934
677	388339.6629
678	387887.4135
679	387396.8011
680	387040.9451
681	386906.6304
682	386641.7068
683	386507.7687
684	386374.8736
685	385783.0028
686	385637.3004
687	385505.7959
688	385374.9635
689	385244.7523
690	385039.5211
691	384910.1872
692	384781.3019
693	384088.1245
694	383739.1257
695	383489.6078
696	383337.9776
697	383043.0159
698	382474.2325
699	381832.3689
700	381703.251
701	381505.5496
702	381377.0231
703	381231.4432
704	381043.1489
705	380915.7091
706	380788.8403
707	380650.1473
708	380524.4636
709	380343.1674
710	379953.1363
711	379732.6689
712	379607.0229
713	378967.3573
714	378842.0496
715	378717.7397
716	378200.8834
717	378076.5086
718	377952.8571
719	377829.7709
720	377581.5898
721	377191.0377
722	377068.3449
723	376946.0025
724	376430.5864
725	376308.6656
726	376187.5461
727	375766.9782
728	375255.0107
729	375133.8175
730	375000.8916
731	374880.5473
732	374760.7354
733	374572.0914
734	374452.649
735	374333.9889
736	374216.0111
737	374031.5355
738	373505.4794
739	373007.1031
740	372774.9577
741	372427.2349
742	372309.004
743	372191.3178
744	372074.0767
745	371892.2566
746	371775.7752
747	371659.8019
748	371544.3501
749	371429.3117
750	371314.5388
751	370691.4734
752	370463.8157
753	370159.6613
754	369939.4217
755	369522.8047
756	369408.4027
757	369229.9365
758	368786.776
759	368343.7312
760	368229.4423
761	368115.7569
762	368002.5407
763	367479.7327
764	367366.8621
765	367254.3768
766	367110.7486
767	366998.9328
768	366887.5471
769	366467.1933
770	366356.2432
771	366245.5388
772	365856.3121
773	365682.2935
774	365572.0558
775	365335.2724
776	365225.1218
777	365115.8382
778	365007.0489
779	364663.3792
780	364513.1748
781	364404.767
782	363857.4684
783	363748.9995
784	363337.109
785	363229.49
786	363088.0438
