iter	RMSE
0	1631678.785
1	1600548.732
2	1570547.373
3	1542767.274
4	1526764.068
5	1507809.14
6	1496903.688
7	1486975.9
8	1481663.336
9	1476227.408
10	1458219.1
11	1446583.866
12	1442025.12
13	1438884.928
14	1434078.975
15	1429440.777
16	1424901.345
17	1420150.955
18	1397045.31
19	1393189.128
20	1390040.436
21	1382174.13
22	1379410.662
23	1362863.839
24	1359917.771
25	1354263.179
26	1334012.183
27	1320047.783
28	1301798.69
29	1299002.188
30	1296275.641
31	1280895.966
32	1273715.768
33	1269914.436
34	1267113.908
35	1252027.744
36	1248435.777
37	1239622.632
38	1224762.534
39	1222363.335
40	1208231.644
41	1205188.39
42	1193298.647
43	1191384.349
44	1181382.855
45	1175773.087
46	1164620.474
47	1160674.4
48	1158282.657
49	1141444.882
50	1132385.782
51	1130192.595
52	1121339.067
53	1119277.766
54	1117028.677
55	1105954.276
56	1096422.537
57	1094391.803
58	1092787.013
59	1082555.821
60	1072789.636
61	1070015.464
62	1061799.372
63	1058529.758
64	1049460.496
65	1046373.166
66	1044595.743
67	1042369.918
68	1038376.98
69	1036717.403
70	1034304.053
71	1031763.006
72	1030208.035
73	1022516.192
74	1021215.33
75	1016487.312
76	1007653.139
77	1000177.509
78	998697.7817
79	996810.3465
80	995407.9662
81	986846.7693
82	979842.7585
83	973509.5964
84	967784.4685
85	962606.769
86	959849.2021
87	955215.2358
88	952677.5101
89	950540.5647
90	944457.9855
91	941522.9823
92	940042.9244
93	931440.0758
94	929451.1167
95	922633.6796
96	921372.5163
97	920286.173
98	914236.5879
99	908916.4063
100	903306.34
101	898551.6022
102	894092.7408
103	892862.0171
104	891293.7802
105	888898.795
106	884756.4694
107	882698.2285
108	877971.1924
109	875955.3368
110	874314.7837
111	868467.8229
112	867388.8697
113	863398.6362
114	859391.3304
115	857621.3161
116	854317.3594
117	851141.2725
118	849829.5313
119	846262.391
120	842920.8657
121	838865.5707
122	837952.0169
123	834293.9966
124	832022.8166
125	830943.1645
126	829787.3417
127	828283.5427
128	825025.5309
129	822952.3209
130	822035.4586
131	816446.2263
132	812879.6251
133	809763.6766
134	808861.0485
135	807664.8516
136	806804.5887
137	805668.3202
138	802489.5275
139	798649.8831
140	797355.1823
141	796300.4389
142	795144.7718
143	790870.6551
144	787743.8164
145	786441.408
146	782794.9203
147	779955.3071
148	778078.9097
149	774874.9273
150	771944.6461
151	768707.428
152	767667.0294
153	765372.3792
154	764158.3575
155	763323.406
156	762354.8488
157	761416.3082
158	758528.1555
159	756131.3141
160	755351.5115
161	754461.8721
162	753582.1175
163	749910.406
164	748392.5794
165	745755.1529
166	744560.3932
167	741174.4453
168	738907.4845
169	735953.4006
170	735095.4286
171	734295.5982
172	732102.6767
173	728108.4251
174	725440.1281
175	723954.5996
176	721283.2547
177	720584.4849
178	718349.9309
179	717298.6598
180	716626.3464
181	715972.2832
182	713355.3051
183	711438.1847
184	710049.6146
185	708792.3497
186	708153.4518
187	706877.058
188	703156.0152
189	701980.3792
190	699978.7093
191	698835.8307
192	697814.9725
193	695190.3317
194	693401.3392
195	691095.1205
196	688655.2092
197	687181.1446
198	686556.8131
199	684231.8839
200	682802.0971
201	682102.7743
202	680154.9157
203	679556.2823
204	676894.1662
205	675586.4129
206	674829.5292
207	672059.1121
208	671478.7872
209	669247.231
210	667723.7467
211	667155.8651
212	665518.8452
213	663100.1913
214	662151.835
215	660244.9733
216	659686.9391
217	658819.859
218	657572.8215
219	654731.2244
220	652599.289
221	652053.6627
222	650299.0151
223	649411.3401
224	647851.7888
225	647314.7659
226	645229.1192
227	643715.9749
228	641203.8433
229	640675.6401
230	639578.0908
231	639061.1763
232	637140.2479
233	635714.3037
234	634864.9715
235	634353.7725
236	632405.058
237	631621.9876
238	630798.2725
239	629428.647
240	628933.6147
241	628174.85
242	626910.1765
243	625958.1056
244	623280.2294
245	622799.2822
246	620940.3865
247	619926.6976
248	619202.2341
249	617460.4671
250	616992.4088
251	616086.0604
252	614810.2968
253	613231.6877
254	611870.2806
255	610559.0738
256	607596.8232
257	607131.6931
258	606675.2649
259	605782.8112
260	605335.2159
261	603499.963
262	602797.3622
263	602358.5783
264	601495.9897
265	601064.7556
266	599019.6717
267	597497.9488
268	596720.728
269	596296.3936
270	595339.4011
271	594364.1876
272	592672.664
273	591079.7455
274	590659.3722
275	589279.2977
276	588331.7386
277	587918.6032
278	586403.0258
279	585662.3062
280	584502.4008
281	583379.1208
282	582499.8482
283	580511.215
284	579225.5365
285	578815.5755
286	578413.8289
287	577711.5927
288	576681.2605
289	575699.5647
290	575304.2941
291	574917.6912
292	574241.7755
293	573552.0386
294	572883.4875
295	572502.6846
296	571181.5398
297	570807.2985
298	568997.4112
299	568313.8572
300	567067.9355
301	566150.5903
302	565237.6205
303	564869.012
304	563078.8433
305	561419.0648
306	560988.5444
307	560631.2348
308	559338.5456
309	558544.3672
310	557695.8654
311	556489.7465
312	556136.9006
313	554656.0961
314	554020.9919
315	553673.604
316	552934.4241
317	552595.5391
318	551992.8834
319	550603.8648
320	550271.0575
321	549111.3574
322	548742.8873
323	548384.7369
324	547596.4369
325	546843.7793
326	546249.6087
327	545932.5673
328	545589.8051
329	545051.3924
330	544092.7692
331	543244.8983
332	542268.3502
333	541490.9627
334	540525.421
335	539490.0492
336	538087.9241
337	537778.4709
338	536987.2296
339	535575.69
340	534518.7583
341	533486.994
342	532943.0437
343	532638.9953
344	532342.646
345	531583.8444
346	531293.3175
347	530782.6529
348	529743.8515
349	528116.5236
350	527830.1407
351	526591.3399
352	526063.2802
353	525781.2096
354	524807.9037
355	524531.4536
356	523627.1066
357	523355.3605
358	522879.7042
359	521891.2933
360	521623.6057
361	520612.658
362	520063.6154
363	518813.7469
364	517766.0896
365	516969.1143
366	516703.6596
367	516052.9056
368	515026.0641
369	514663.8086
370	514402.8286
371	514146.7721
372	513579.0881
373	512916.2161
374	512663.5712
375	512316.6849
376	511195.5064
377	510292.9574
378	510044.2209
379	509800.2307
380	508552.4318
381	507209.4344
382	506968.2582
383	506087.7325
384	505379.3655
385	504965.2523
386	503889.0379
387	503632.8762
388	503382.6868
389	503137.5658
390	502898.1252
391	502281.3311
392	501337.296
393	500261.1102
394	499830.6189
395	498894.7906
396	498669.2451
397	497906.7107
398	497685.7068
399	497152.1119
400	496270.4086
401	495453.3873
402	494737.7154
403	493847.2765
404	493448.1351
405	493229.0465
406	492697.6108
407	491800.9377
408	491585.3584
409	490953.8728
410	490527.2836
411	489653.691
412	489441.0812
413	489062.7302
414	488190.8177
415	487981.8011
416	487501.7587
417	487296.1712
418	486531.3749
419	486166.8711
420	485815.9261
421	485556.9048
422	485099.2991
423	484457.8641
424	483822.3422
425	483321.7602
426	482429.9551
427	482227.5606
428	482010.7321
429	481184.5928
430	480423.2156
431	480227.0976
432	479805.5147
433	478892.7864
434	478610.6822
435	478416.9483
436	477924.9429
437	477115.5218
438	476270.5085
439	475370.2852
440	474758.0574
441	474328.7597
442	473975.9753
443	473784.3388
444	473490.5168
445	473280.7254
446	473076.1841
447	472543.7104
448	471616.4883
