iter	Passed	Remaining
0	1	1864
1	3	1875
2	5	1787
3	6	1732
4	8	1727
5	10	1673
6	11	1647
7	13	1622
8	14	1610
9	16	1594
10	17	1593
11	19	1575
12	20	1568
13	22	1565
14	23	1562
15	25	1559
16	26	1553
17	28	1546
18	29	1540
19	31	1534
20	32	1528
21	34	1522
22	35	1518
23	37	1517
24	38	1515
25	40	1510
26	41	1510
27	43	1505
28	44	1505
29	46	1499
30	47	1499
31	49	1495
32	50	1491
33	52	1488
34	53	1485
35	55	1485
36	56	1481
37	58	1482
38	59	1478
39	61	1476
40	63	1475
41	64	1474
42	66	1473
43	67	1473
44	69	1479
45	71	1476
46	72	1475
47	74	1473
48	75	1469
49	77	1469
50	79	1470
51	80	1469
52	82	1468
53	83	1466
54	85	1465
55	86	1463
56	88	1462
57	90	1461
58	91	1459
59	93	1460
60	94	1459
61	96	1456
62	97	1455
63	99	1452
64	101	1453
65	102	1450
66	104	1448
67	105	1447
68	107	1444
69	108	1442
70	110	1441
71	111	1439
72	113	1437
73	114	1435
74	116	1434
75	117	1431
76	119	1429
77	120	1428
78	122	1428
79	124	1426
80	125	1423
81	127	1422
82	128	1420
83	130	1420
84	131	1419
85	133	1417
86	134	1416
87	136	1416
88	138	1414
89	139	1413
90	141	1411
91	142	1409
92	144	1406
93	145	1405
94	147	1402
95	148	1401
96	150	1399
97	151	1398
98	153	1397
99	155	1395
100	156	1396
101	158	1394
102	159	1393
103	161	1391
104	163	1390
105	164	1388
106	166	1386
107	167	1385
108	169	1383
109	170	1381
110	172	1379
111	173	1377
112	175	1376
113	176	1375
114	178	1374
115	180	1372
116	181	1370
117	183	1369
118	184	1366
119	186	1365
120	187	1364
121	189	1362
122	190	1360
123	192	1358
124	193	1357
125	195	1354
126	196	1353
127	199	1359
128	201	1357
129	202	1356
130	204	1354
131	205	1353
132	207	1351
133	208	1350
134	210	1349
135	212	1348
136	213	1346
137	215	1344
138	216	1342
139	218	1341
140	219	1338
141	221	1337
142	222	1335
143	224	1333
144	225	1331
145	227	1330
146	228	1328
147	230	1328
148	232	1326
149	233	1325
150	235	1323
151	237	1322
152	238	1321
153	240	1319
154	241	1318
155	243	1316
156	244	1314
157	246	1313
158	248	1312
159	249	1310
160	251	1309
161	252	1307
162	254	1305
163	255	1304
164	257	1302
165	259	1301
166	260	1299
167	262	1297
168	263	1296
169	265	1295
170	266	1294
171	268	1292
172	269	1290
173	271	1289
174	273	1287
175	274	1286
176	276	1285
177	277	1283
178	279	1282
179	281	1280
180	282	1278
181	284	1277
182	285	1275
183	287	1276
184	289	1274
185	291	1274
186	292	1272
187	294	1270
188	295	1269
189	297	1268
190	299	1267
191	300	1265
192	302	1263
193	303	1262
194	305	1260
195	306	1259
196	308	1257
197	310	1256
198	311	1254
199	313	1253
200	314	1251
201	316	1250
202	318	1248
203	319	1247
204	321	1246
205	322	1244
206	324	1243
207	326	1241
208	327	1239
209	329	1239
210	330	1237
211	332	1235
212	334	1234
213	335	1232
214	337	1231
215	338	1229
216	340	1227
217	341	1226
218	343	1224
219	345	1223
220	346	1222
221	348	1220
222	349	1218
223	351	1217
224	352	1215
225	354	1213
226	355	1212
227	357	1211
228	359	1209
229	360	1207
230	362	1206
231	363	1204
232	365	1203
233	367	1201
234	368	1200
235	370	1198
236	371	1196
237	373	1195
238	374	1193
239	376	1193
240	378	1191
241	380	1190
242	381	1188
243	383	1187
244	384	1186
245	386	1184
246	388	1183
247	389	1182
248	391	1180
249	394	1182
250	396	1181
251	398	1181
252	399	1179
253	401	1178
254	402	1176
255	404	1175
256	405	1173
257	407	1171
258	409	1170
259	411	1170
260	412	1168
261	414	1167
262	415	1165
263	417	1164
264	419	1162
265	420	1160
266	422	1159
267	424	1158
268	426	1158
269	427	1156
270	429	1155
271	431	1154
272	433	1153
273	434	1151
274	436	1150
275	438	1149
276	439	1147
277	441	1145
278	443	1145
279	444	1143
280	446	1142
281	447	1140
282	449	1139
283	451	1137
284	452	1135
285	454	1133
286	455	1132
287	457	1130
288	459	1129
289	460	1128
290	462	1126
291	463	1124
292	465	1123
293	467	1121
294	468	1120
295	470	1118
296	471	1116
297	473	1115
298	474	1113
299	476	1112
300	478	1110
301	479	1108
302	481	1106
303	482	1105
304	484	1103
305	485	1102
306	487	1100
307	488	1098
308	490	1097
309	492	1095
310	493	1094
311	495	1092
312	496	1090
313	498	1088
314	499	1086
315	501	1085
316	502	1083
317	504	1081
318	505	1080
319	507	1078
320	509	1077
321	510	1075
322	512	1073
323	513	1071
324	515	1070
325	516	1068
326	518	1066
327	519	1064
328	521	1063
329	522	1061
330	524	1060
331	526	1058
332	527	1056
333	529	1055
334	530	1053
335	532	1051
336	533	1050
337	535	1048
338	536	1046
339	538	1045
340	540	1043
341	541	1041
342	543	1040
343	544	1038
344	546	1036
345	547	1035
346	549	1033
347	550	1031
348	552	1030
349	553	1028
350	555	1027
351	557	1025
352	558	1023
353	560	1022
354	561	1020
355	563	1018
356	564	1017
357	566	1015
358	567	1013
359	569	1012
360	570	1010
361	572	1008
362	573	1007
363	575	1005
364	577	1004
365	578	1002
366	580	1000
367	581	999
368	583	997
369	584	995
370	586	993
371	587	992
372	589	990
373	590	988
374	592	987
375	593	985
376	595	983
377	596	982
378	598	980
379	599	978
380	601	977
381	603	975
382	604	973
383	606	972
384	607	970
385	609	969
386	610	967
387	612	965
388	613	964
389	615	962
390	617	961
391	618	959
392	620	957
393	621	956
394	623	954
395	624	953
396	626	951
397	628	949
398	629	948
399	631	946
400	632	945
401	634	943
402	635	941
403	637	940
404	638	938
405	642	939
406	643	938
407	645	936
408	647	935
409	648	933
410	650	932
411	652	930
412	653	929
413	655	927
414	656	925
415	658	924
416	660	922
417	661	921
418	663	919
419	664	917
420	666	916
421	667	914
422	669	912
423	670	911
424	672	909
425	674	908
426	675	906
427	677	905
428	678	903
429	680	901
430	681	900
431	683	898
432	685	897
433	686	895
434	688	893
435	689	892
436	691	890
437	692	889
438	694	887
439	695	885
440	697	884
441	699	882
442	702	882
443	705	883
444	707	882
445	710	882
446	715	885
447	717	884
448	719	883
449	721	881
450	723	880
451	725	879
452	726	877
453	728	875
454	730	874
455	731	873
456	733	871
457	735	870
458	737	869
459	738	867
460	740	866
461	742	864
462	744	863
463	746	862
464	747	860
465	751	861
466	755	861
467	758	861
468	761	862
469	764	861
470	767	861
471	769	860
472	772	860
473	774	858
474	775	857
475	777	856
476	779	854
477	781	853
478	783	851
479	785	850
480	786	849
481	788	847
482	790	846
483	792	844
484	794	843
485	795	841
486	797	840
487	799	838
488	801	837
489	802	835
490	804	834
491	806	832
492	809	832
493	810	830
494	812	829
495	814	827
496	816	826
497	818	824
498	820	823
499	822	822
500	823	820
501	825	819
502	827	817
503	829	816
504	831	814
505	832	813
506	834	811
507	836	810
508	838	808
509	840	807
510	842	806
511	844	805
512	847	804
513	851	804
514	853	803
515	856	803
516	859	803
517	862	802
518	864	801
519	867	801
520	870	800
521	873	799
522	875	798
523	877	797
524	879	796
525	883	796
526	887	796
527	890	795
528	893	795
529	896	794
530	899	794
531	902	793
532	905	793
533	907	792
534	910	791
535	913	791
536	916	789
537	918	789
538	921	788
539	926	788
540	931	790
541	934	789
542	936	788
543	939	787
544	943	787
545	946	786
546	949	786
547	952	785
548	955	784
549	957	783
550	960	782
551	963	781
552	966	781
553	968	780
554	973	780
555	975	778
556	977	777
557	978	775
558	980	773
559	981	771
560	983	769
561	985	767
562	986	766
563	989	765
564	992	764
565	995	763
566	998	762
567	1001	761
568	1004	760
569	1006	759
570	1009	758
571	1012	757
572	1015	757
573	1018	756
574	1021	754
575	1023	753
576	1026	752
577	1029	751
578	1032	750
579	1034	749
580	1038	749
581	1042	748
582	1044	746
583	1045	744
584	1047	743
585	1049	741
586	1050	739
587	1052	737
588	1054	735
589	1055	733
590	1057	731
591	1058	729
592	1060	727
593	1061	725
594	1063	723
595	1064	721
596	1066	720
597	1068	718
598	1069	716
599	1071	714
600	1072	712
601	1074	710
602	1076	708
603	1077	706
604	1079	704
605	1080	702
606	1082	700
607	1083	698
608	1085	696
609	1086	694
610	1088	692
611	1090	691
612	1091	689
613	1093	687
614	1094	685
615	1096	683
616	1097	681
617	1099	679
618	1100	677
619	1102	675
620	1104	673
621	1105	671
622	1107	669
623	1108	667
624	1110	666
625	1111	664
626	1113	662
627	1115	660
628	1116	658
629	1118	656
630	1119	654
631	1121	652
632	1122	650
633	1124	649
634	1125	647
635	1127	645
636	1129	643
637	1130	641
638	1132	639
639	1133	637
640	1135	635
641	1136	634
642	1138	632
643	1140	630
644	1141	628
645	1143	626
646	1144	624
647	1146	622
648	1147	620
649	1149	618
650	1151	617
651	1152	615
652	1154	613
653	1155	611
654	1157	609
655	1158	607
656	1160	605
657	1161	603
658	1163	601
659	1164	600
660	1166	598
661	1167	596
662	1169	594
663	1171	592
664	1172	590
665	1174	588
666	1175	587
667	1177	585
668	1178	583
669	1180	581
670	1182	579
671	1183	577
672	1185	576
673	1187	574
674	1188	572
675	1190	570
676	1191	568
677	1193	566
678	1195	564
679	1196	563
680	1198	561
681	1199	559
682	1201	557
683	1202	555
684	1204	553
685	1205	551
686	1207	550
687	1208	548
688	1210	546
689	1212	544
690	1214	542
691	1215	541
692	1218	539
693	1220	538
694	1223	536
695	1225	535
696	1226	533
697	1228	531
698	1229	529
699	1231	527
700	1232	525
701	1234	524
702	1236	522
703	1237	520
